"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ,лоМ";"адеб";"Мол, ";"беда";" ";"не приходит одна, с Мартышкой поссорилась";"Дарья Симонова. Шанкр (2002)";"Дарья Симонова";"1972";"Шанкр";"2002";"художественная";"повесть";"";"Дарья Симонова. Половецкие пляски";"2002";"книга";"омонимия не снята";"2356";"25976";"н-возраст";"н-уровень";"большая";"Мол, беда не приходит одна, с Мартышкой поссорилась, а тут еще «такое»… ";"24234:408:1"
" ,ястировог как ,оН";"адеб";"Но, как говорится, ";"беда";" ";"не приходит одна. ";"Г. Я. Бакланов. Жизнь, подаренная дважды (1999)";"Г. Я. Бакланов";"1923";"Жизнь, подаренная дважды";"1999";"публицистика | нехудожественная";"мемуары";"";"Григорий Бакланов. Жизнь, подаренная дважды";"1999";"книга";"омонимия не снята";"10559";"143982";"н-возраст";"н-уровень";"большая";"Но, как говорится, беда не приходит одна. ";"52954:8374:3"
" отч ,лыбаз но оН";"адеб";"Но он забыл, что ";"беда";" ";"не приходит одна. ";"Эдвард Радзинский. Лжедмитрий (1999)";"Эдвард Радзинский";"1936";"Лжедмитрий";"1999";"художественная";"повесть";"";"Радзинский Э. Собрание сочинений: В 7 т. Т.5";"1998";"книга";"омонимия не снята";"1633";"22054";"н-возраст";"н-уровень";"очень большая";"Но он забыл, что беда не приходит одна. ";"53773:906:4"
"« уливарп онсалгос ,еенем ен меТ";"адеб";"Тем не менее, согласно правилу «";"беда";" ";"не приходит одна» рядом со стартом";"Б. Е. Черток. Ракеты и люди (1999)";"Б. Е. Черток";"1912";"Ракеты и люди";"1999";"публицистика | нехудожественная";"мемуары";"техника | история";"Б. Е. Черток. Ракеты и люди";"1999";"книга";"омонимия не снята";"34730";"476976";"н-возраст";"н-уровень";"большая";"Тем не менее, согласно правилу «беда не приходит одна» рядом со стартом 8К78 на 51-й площадке 27 октября произошел взрыв ТНА ракеты Р-9. ";"22348:8496:5"
" ,ястировог как ,оН";"адеб";"Но, как говорится, ";"беда";" ";"не приходит одна. ";"Савва Кулиш, Александр Миллер. Говорит и показывает Москва (1997) // «Столица», 12.08.1997";"Савва Кулиш | Александр Миллер";"";"Говорит и показывает Москва";"1997";"публицистика | нехудожественная";"заметка";"политика и общественная жизнь";"«Столица»";"12.08.1997";"журнал";"омонимия не снята";"169";"1716";"н-возраст";"н-уровень";"большая";"Но, как говорится, беда не приходит одна. ";"33000:67:3"
" оН";"адеб";"Но ";"беда";" ";"не приходит одна. ";"Петр Поспелов. Концерт в ГКЗ «Россия» (1996) // «Коммерсантъ-Daily», 24.01.1996";"Петр Поспелов";"";"Концерт в ГКЗ «Россия»";"1996";"публицистика | нехудожественная";"статья";"искусство и культура";"«Коммерсантъ-Daily»";"24.01.1996";"газета";"омонимия не снята";"34";"624";"н-возраст";"н-уровень";"большая";"Но беда не приходит одна. ";"31575:21:1"
" :йетсокап иицартнецнок оливарп отэ ― ,юьнзиж хищюялварпу";"адеб";"управляющих жизнью, ― это правило концентрации пакостей: ";"беда";" ";"не приходит одна. ";"Воспоминания о Шкловском (1996)";"коллективный";"";"Воспоминания о Шкловском";"1996";"публицистика | нехудожественная";"мемуары";"наука и технологии";"«И. Шкловский: «Разум, жизнь, вселенная»";"1996";"книга";"омонимия не снята";"3073";"48777";"н-возраст";"н-уровень";"большая";"Один из мистических законов, управляющих жизнью, ― это правило концентрации пакостей: беда не приходит одна. ";"24637:601:10"
" ― тяровог онреВ";"адеб";"Верно говорят ― ";"беда";" ";"не приходит одна. ";"Константин Серафимов. Экспедиция во мрак (1978-1996)";"Константин Серафимов";"1953";"Экспедиция во мрак";"1978-1996";"публицистика | нехудожественная";"монография";"спорт";"";"1994";"книга";"омонимия не снята";"16334";"167293";"н-возраст";"н-уровень";"средняя";"Верно говорят ― беда не приходит одна. ";"35977:11396:2"
"« ациволсоп омидиВ";"адеб";"Видимо пословица «";"беда";" ";"не приходит одна» характерна и для";"Н. Б. Саяпова. Дневник (1993)";"Н. Б. Саяпова";"1947";"Дневник";"1993";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | сельское хозяйство | природа";"";"";"электронный текст";"омонимия не снята";"2226";"17751";"н-возраст";"н-уровень";"личная";"Видимо пословица «беда не приходит одна» характерна и для более цивилизованной части мира, тем более, что пассажиров, что семян в огурце. ";"21262:1868:2"
"";"адеБ";"";"Беда";" ";"не приходит одна. ";"Ю. М. Лапшин. Афганский дневник (1988)";"Ю. М. Лапшин";"1952";"Афганский дневник";"1988";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | армия и вооруженные конфликты";"Афганский дневник. М.: ОЛМА-ПРЕСС Образование, 2004";"2004";"книга";"омонимия не снята";"5286";"42489";"н-возраст";"н-уровень";"личная";"Беда не приходит одна. ";"20726:4669:0"
"";"адеБ";"";"Беда";" ";"не приходит одна. ";"Еремей Парнов. Третий глаз Шивы (1985)";"Еремей Парнов";"1935";"Третий глаз Шивы";"1985";"художественная";"роман";"";"Е. И. Парнов. Третий глаз Шивы";"1985";"книга";"омонимия не снята";"17926";"148958";"н-возраст";"н-уровень";"очень большая";"Беда не приходит одна. ";"23548:4008:0"
" унитсиоВ";"адеб";"Воистину ";"беда";" ";"не приходит одна. ";"Еремей Парнов. Третий глаз Шивы (1985)";"Еремей Парнов";"1935";"Третий глаз Шивы";"1985";"художественная";"роман";"";"Е. И. Парнов. Третий глаз Шивы";"1985";"книга";"омонимия не снята";"17926";"148958";"н-возраст";"н-уровень";"очень большая";"Воистину беда не приходит одна. ";"23548:11706:1"
" как кат А";"адеб";"А так как ";"беда";" ";"не приходит одна, то я не";"Виктор Конецкий. Начало конца комедии (1978)";"Виктор Конецкий";"1929";"Начало конца комедии";"1978";"художественная";"рассказ | цикл";"";"Конецкий В. Начало конца комедии";"1978";"книга";"омонимия не снята";"6266";"77428";"н-возраст";"н-уровень";"очень большая";"А так как беда не приходит одна, то я не удивился, когда еще через минуту кормовой буксир намотал на винт какую-то дрянь. ";"23145:5285:3"
"";"адеБ";"";"Беда";" ";"не приходит одна, а всегда с";"Г. Д. Гребенщиков. Чураевы (роман-эпопея). Том 7. Лобзание змия (1952)";"Г. Д. Гребенщиков";"1883";"Чураевы (роман-эпопея). Том 7. Лобзание змия";"1952";"художественная";"роман";"";"Гребенщиков Г.Д., Собрание сочинений в 6-и томах, Алтайская краевая администрация, 2013 г.";"2013";"книга";"омонимия не снята";"4348";"51462";"н-возраст";"н-уровень";"большая";"Беда не приходит одна, а всегда с беденятами». ";"129916:4053:0"
" оН";"адеб";"Но ";"беда";" ";"не приходит одна ― по пословице. ";"митрополит Вениамин (Федченков). На рубеже двух эпох (1940-1950)";"митрополит Вениамин (Федченков)";"1880";"На рубеже двух эпох";"1940-1950";"церковно-богословская";"мемуары";"философия | религия";"Вениамин (Федченков). На рубеже двух эпох. Подгот. текста, вступ. ст., коммент. А. К. Светозарский";"1994";"книга";"омонимия не снята";"11177";"130464";"н-возраст";"н-уровень";"большая";"Но беда не приходит одна ― по пословице. ";"75214:4240:1"
" ,енитсиоП";"адеб";"Поистине, ";"беда";" ";"не приходит одна. ";"Николай Пашин. Дневник (1945) // Николай Пашин: Из дневников «пропавшего без вести» / Публ. и комм. А. Любимова // Новый Журнал. 2012. №№ 270, 272, 2013, 273, 275, 276., 2012";"Николай Пашин";"1908";"Дневник";"1945";"бытовая | нехудожественная";"дневник, записные книжки";"политика и общественная жизнь | частная жизнь | администрация и управление | армия и вооруженные конфликты";"Николай Пашин: Из дневников «пропавшего без вести» / Публ. и комм. А. Любимова // Новый Журнал. 2012. №№ 270, 272, 2013, 273, 275, 276.";"2012";"журнал";"омонимия не снята";"4722";"59981";"н-возраст";"н-уровень";"личная";"Поистине, беда не приходит одна. ";"74592:3158:1"
"";"адеБ";"";"Беда";" ";"не приходит одна, ну да ведь";"Н. К. Рерих. Листы дневника (1944)";"Н. К. Рерих";"1874";"Листы дневника";"1944";"бытовая";"дневник, записные книжки";"искусство и культура | частная жизнь | политика и общественная жизнь | история | философия | религия";"Рерих Николай. Листы дневника. В трех томах. Том 3. М.: Международный Центр Рерихов, 1996";"1996";"книга";"омонимия не снята";"2862";"24534";"н-возраст";"н-уровень";"личная";"Беда не приходит одна, ну да ведь и счастье не ходит в одиночку». ";"127489:2086:0"
"";"адеБ";"";"Беда";" ";"не приходит одна, и Малыгин утешался";"Д. Н. Мамин-Сибиряк. Хлеб (1895)";"Д. Н. Мамин-Сибиряк";"1852";"Хлеб";"1895";"художественная";"роман";"";"Д. Н. Мамин-Сибиряк. Собр.соч.в 8 томах";"1955";"книга";"омонимия не снята";"12847";"120784";"н-возраст";"н-уровень";"очень большая";"Беда не приходит одна, и Малыгин утешался только тем, какого дурака свалял Еграшка-модник, попавший, как кур во щи. ";"65605:8251:0"
"";"адеБ";"";"Беда";" ";"не приходит одна… ";"Д. Н. Мамин-Сибиряк. Емеля-охотник (1884)";"Д. Н. Мамин-Сибиряк";"1852";"Емеля-охотник";"1884";"художественная";"рассказ";"";"Д. Н. Мамин-Сибиряк. Избранные произведения для детей";"1962";"книга";"омонимия не снята";"189";"2165";"детский | подростковый";"н-уровень";"очень большая";"Беда не приходит одна… ";"65603:53:0"
